task,frame,split,n_refs,H_score,is_hallucination,p_combined,interior_mean_var,frame_score_max,mean_cert_fg,fg_pixel_count,auto_detected_task,p_ivar,p_peak,p_cert,raw_ivar,raw_peak,raw_cert
0_Open the box,frame_0000,high,53,0.952036,1,0.047964,0.00806,2.161966,0.244845,3860,,0.018519,0.888889,0.12963,0.00806,2.161966,0.244845
0_Open the box,frame_0001,high,53,0.919224,0,0.080776,0.011786,1.879352,0.247812,3864,,0.018519,0.962963,0.148148,0.011786,1.879352,0.247812
0_Open the box,frame_0003,high,53,0.943008,0,0.056992,0.01139,1.381667,0.215307,4056,,0.018519,0.981481,0.037037,0.01139,1.381667,0.215307
0_Open the box,frame_0005,high,53,0.955687,1,0.044313,0.015535,1.312375,0.206579,4074,,0.018519,0.981481,0.018519,0.015535,1.312375,0.206579
0_Open the box,frame_0007,high,53,0.975656,1,0.024344,0.008252,2.196885,0.219651,4066,,0.018519,0.87037,0.037037,0.008252,2.196885,0.219651
0_Open the box,frame_0009,high,53,0.999016,1,0.000984,0.009714,5.58345,0.180939,4050,,0.018519,0.092593,0.018519,0.009714,5.58345,0.180939
0_Open the box,frame_0011,high,53,0.955687,1,0.044313,0.017731,1.67094,0.161108,4048,,0.018519,0.981481,0.018519,0.017731,1.67094,0.161108
0_Open the box,frame_0013,high,53,0.955687,1,0.044313,0.026027,1.498539,0.209126,4120,,0.018519,0.981481,0.018519,0.026027,1.498539,0.209126
0_Open the box,frame_0015,high,53,0.955687,1,0.044313,0.032181,1.647745,0.185084,4138,,0.018519,0.981481,0.018519,0.032181,1.647745,0.185084
0_Open the box,frame_0016,high,53,0.986648,1,0.013352,0.022397,2.517184,0.180849,4129,,0.018519,0.796296,0.018519,0.022397,2.517184,0.180849
0_Open the box,frame_0018,high,53,0.971519,1,0.028481,0.023064,2.091232,0.070939,4737,,0.018519,0.944444,0.018519,0.023064,2.091232,0.070939
0_Open the box,frame_0020,high,53,0.971519,1,0.028481,0.035535,1.965815,0.095469,5159,,0.018519,0.944444,0.018519,0.035535,1.965815,0.095469
0_Open the box,frame_0022,high,53,0.971519,1,0.028481,0.022344,2.109439,0.146313,5124,,0.018519,0.944444,0.018519,0.022344,2.109439,0.146313
0_Open the box,frame_0024,high,53,0.981846,1,0.018154,0.017211,2.270542,0.122972,5137,,0.018519,0.87037,0.018519,0.017211,2.270542,0.122972
0_Open the box,frame_0026,high,53,0.965987,1,0.034013,0.024212,1.84301,0.13894,5139,,0.018519,0.962963,0.018519,0.024212,1.84301,0.13894
0_Open the box,frame_0028,high,53,0.971519,1,0.028481,0.031389,2.127249,0.150468,5118,,0.018519,0.944444,0.018519,0.031389,2.127249,0.150468
0_Open the box,frame_0030,high,53,0.965987,1,0.034013,0.034211,1.880563,0.116304,5154,,0.018519,0.962963,0.018519,0.034211,1.880563,0.116304
0_Open the box,frame_0031,high,53,0.955687,1,0.044313,0.04927,1.556033,0.119405,5169,,0.018519,0.981481,0.018519,0.04927,1.556033,0.119405
