image_id,task,frame,split,is_hallucination,score,score_patchcore,score_graph
0_Open_the_box__frame_0001,0_Open the box,frame_0001,low,False,0.5231,0.7375,0.3087
0_Open_the_box__frame_0002,0_Open the box,frame_0002,low,True,0.5020,1.0000,0.0041
0_Open_the_box__frame_0003,0_Open the box,frame_0003,low,True,0.5240,1.0000,0.0481
0_Open_the_box__frame_0004,0_Open the box,frame_0004,low,True,0.8291,1.0000,0.6582
0_Open_the_box__frame_0005,0_Open the box,frame_0005,low,True,0.8331,1.0000,0.6661
0_Open_the_box__frame_0006,0_Open the box,frame_0006,low,True,0.8402,1.0000,0.6803
0_Use_the_left_hand_to_pick_up_dark_green_cucumber_from__frame_0001,0_Use the left hand to pick up dark green cucumber from on circular gray mat to above beige bowl.,frame_0001,low,True,0.4375,0.8747,0.0003
0_Use_the_left_hand_to_pick_up_dark_green_cucumber_from__frame_0002,0_Use the left hand to pick up dark green cucumber from on circular gray mat to above beige bowl.,frame_0002,low,True,0.6579,1.0000,0.3158
0_Use_the_left_hand_to_pick_up_dark_green_cucumber_from__frame_0003,0_Use the left hand to pick up dark green cucumber from on circular gray mat to above beige bowl.,frame_0003,low,True,0.8272,1.0000,0.6544
0_Use_the_left_hand_to_pick_up_dark_green_cucumber_from__frame_0004,0_Use the left hand to pick up dark green cucumber from on circular gray mat to above beige bowl.,frame_0004,low,True,0.6894,1.0000,0.3787
0_Use_the_left_hand_to_pick_up_dark_green_cucumber_from__frame_0005,0_Use the left hand to pick up dark green cucumber from on circular gray mat to above beige bowl.,frame_0005,low,True,0.8129,1.0000,0.6259
0_Use_the_left_hand_to_pick_up_dark_green_cucumber_from__frame_0006,0_Use the left hand to pick up dark green cucumber from on circular gray mat to above beige bowl.,frame_0006,low,True,0.8086,1.0000,0.6172
10_Use_the_right_hand_to_pick_up_yellow_star_fruit_from__frame_0001,10_Use the right hand to pick up yellow star fruit from right side of table to white shelf.,frame_0001,low,False,0.3287,0.4283,0.2291
10_Use_the_right_hand_to_pick_up_yellow_star_fruit_from__frame_0002,10_Use the right hand to pick up yellow star fruit from right side of table to white shelf.,frame_0002,low,True,0.8581,0.9272,0.7891
10_Use_the_right_hand_to_pick_up_yellow_star_fruit_from__frame_0003,10_Use the right hand to pick up yellow star fruit from right side of table to white shelf.,frame_0003,low,True,0.7632,0.9255,0.6009
10_Use_the_right_hand_to_pick_up_yellow_star_fruit_from__frame_0004,10_Use the right hand to pick up yellow star fruit from right side of table to white shelf.,frame_0004,low,True,0.8880,1.0000,0.7761
10_Use_the_right_hand_to_pick_up_yellow_star_fruit_from__frame_0005,10_Use the right hand to pick up yellow star fruit from right side of table to white shelf.,frame_0005,low,True,0.7174,1.0000,0.4349
10_Use_the_right_hand_to_pick_up_yellow_star_fruit_from__frame_0006,10_Use the right hand to pick up yellow star fruit from right side of table to white shelf.,frame_0006,low,True,0.9147,1.0000,0.8294
11_Use_the_right_hand_to_pick_up_cup_to_green_trash_can__frame_0001,11_Use the right hand to pick up cup to green trash can,frame_0001,low,True,0.8798,0.9830,0.7767
11_Use_the_right_hand_to_pick_up_cup_to_green_trash_can__frame_0002,11_Use the right hand to pick up cup to green trash can,frame_0002,low,True,0.9029,0.9715,0.8344
11_Use_the_right_hand_to_pick_up_cup_to_green_trash_can__frame_0003,11_Use the right hand to pick up cup to green trash can,frame_0003,low,True,0.8376,1.0000,0.6753
11_Use_the_right_hand_to_pick_up_cup_to_green_trash_can__frame_0004,11_Use the right hand to pick up cup to green trash can,frame_0004,low,True,0.8405,1.0000,0.6810
11_Use_the_right_hand_to_pick_up_cup_to_green_trash_can__frame_0005,11_Use the right hand to pick up cup to green trash can,frame_0005,low,True,0.7251,1.0000,0.4501
